Name of Icebreaker Tool,Complexity of Tool,Number of Participants,Materials,Length of Time,Overview of Tool,URL of Video Training,When to use it ?,Transcription
NYT 36,Easy,Unlimited participants.,"Excited participants! Can have cards with
questions printed for ease of facilitation.",5-8 minutes,"Weird questions magically seem to work. This exercise is
a powerful icebreaker inspired by the New York Times’
“36 questions to fall in love”. With participants rotating around the room, this supercharged process will help
each person interact and connect with more individuals
than they believed possible. As a facilitator, this is a way
to step back and observe how each participant interacts
with one another.",https://stalechips.teachable.com/courses/1732552/lectures/39190255,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"This icebreaker is super powerful for a group of however many you'd like. It's awesome because you're going to get people to open up with each other about very weird questions that somehow magically just seem to work. If you look up New York Times 36 questions to ask your significant other before you get married. I know that sounds ridiculous. There's three phases of these questions. I believe they come in twelve. So, you know, phase 112 questions. Phase 212 questions. Phase 312 questions. I am not talking about the third phase. That's very weird. Awkward. Please don't put those in your workshop. It will probably fail miserably. But the first 24, I believe first two phases are perfect. What I like to do is I pick out the ones that I like the most out of that group. We'll call it twelve questions. I pick out my favorite, and I write them down very big on butcher block paper, flip chart, on a whiteboard, something. I put them around the room and I say, look, I'd like you, when I'm done talking, everybody to stand up and answer and ask these questions, as many as you can, with as many people in the room as you can in five minutes. And I want you to go fast. Just tell them just enough about your answer that they truly have an understanding of what your answer is. You're going to get to know a lot of people in a short amount of time. And if you ever run out of things to say or do, you move to the next person? So this isn't this awkward thing where you're like, hey, we've run out of things to ask or say, like an elevator pitch where you just kind of run out of space. You say, next question. Okay, what do you think about this? What do you think about that? Etcetera. Answer the question, move on. So this is a way for you as a facilitator to step back and watch what people are doing in the room. Watch their body language, watch how loud they get, or I guess, listen to how loud they get. And this is going to be kind of like a tempo check for you in your workshop. I do it in the very beginning. You can do it after you get back from a break or lunch. Again, as many people as you'd like. I have done this with pairs, just two people. So it's really from two people to as many as you'd like if you put it around the room. I've done it before with cards where you have the questions actually printed out and everybody's got to just go around with their card and ask their questions specifically, they're going to get answers to just their questions and provide responses to just everybody else's question. So it's a way to kind of mix things up. All told, six minutes, no more than seven or eight.
What ends up happening at that point is the energy starts to die down. People don't want to answer these weird questions anymore. Potentially weird. And it kind of fizzles out. So don't hold yourself to a time. Don't say, I'm going to do this for six, seven minutes and start your clock. If they start to fizzle out around five, cut it at five. Don't wait for it to go past the point of diminishing returns. This is New York's Times 36."
One-handed Airplane,Easy,"Unlimited participants split
into pairs.","Paper for each pair, space to launch
airplanes.",5-8 minutes,"Beginning the process of effective communication and
collaboration can be complex. Making a paper airplane
isn’t. When combined, magic occurs. In this icebreaker,
paired participants are tasked with rapidly creating and
designing their own paper airplane with 2 limitations: they
have 2 mins and one hand each. Nothing inspired
collaboration like a little competition.",https://stalechips.teachable.com/courses/1732552/lectures/39190256,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"We're in the same shot at the beginning. Should we not have been? No, that's perfect. One handed airplane. Simple warm up to get the energy in the room lifted. Now, you could do this before a creative section of your workshop. You could do this at the beginning of the workshop. It really is one of those weird things where not really much intention behind it other than get the people going, as they say. So the one handed airplane. Here's what you do. Assign partners to everyone in the room. Gonna partner up. Will you be my partner?
Oh, yeah.
Cool. Make sure you assign them so that like, no one's left out. Just go 1212-1212 throughout the room. This can be done with unlimited participants, but it would take a much longer time to partner them up.
Okay.
And it only takes seven or eight minutes. Each group should have one single sheet of paper. That's one sheet for two people. And they each can only use one hand. They can choose the hands.
Okay.
You don't have to assign worst hand or anything like that. And what they have to do is in a minute and a half, they have to turn their sheet of paper into a paper airplane. If you do want to give them some time, say, all right, I'll give you 1 minute for strategy and 1 minute for execution. So we could describe the type of airplane we want or what I like to do. Complete chaos. You have one and a half minutes to turn this sheet of paper into an airplane. We're going to have a competition after. So your tail's on the line. Okay. You want to make the best airplane ever made. One hand cannot touch it with. Okay, here we go. And we're going to try and make a paper airplane. Ready, set, go.
You're gonna, you gotta, you gotta press.
It down for me like this. See that communication is important. You flip it and I'll press it. That's pretty good.
Not so pointy, but that's okay. Do you do a double fold?
Yeah.
Oh, you just single fold.
Okay. Oh, I was cheating for a second. Almost. Okay, you hold here. Look, I'll hold and you slide. Okay. Okay, now let's get the wings going. What? Is that what you were going to do?
That's not what I was going to do, but then I committed to it. We should, we're not communicating enough. That's a point you can make with your participants. They need to be talking through as they're planning. John, hold up. What? We've created a really, really awful airplane. At the end, you are going to want to line everyone up. Competition have them throw it, see who goes the farthest. We encourage cheering throughout. John. It flew all the way about 400 yards. That fast, too. So John doesn't even want to stick around for the end of the exercise. The lesson is there is no lesson. That was fun, that gave us a lot of energy that's going to get us through the day. And that, ladies and gentlemen, is the one handed airplane."
Phone Call,Medium,20+ participants for best results.,Imaginary phones.,5-10 minutes,"Your bestie just called! In this icebreaker, conversations
are self-guided and numerous as each participant has a
fake chat with their real best friend. Can uncover habits,
emotions, vulnerability, and comradery among the group.",https://stalechips.teachable.com/courses/1732552/lectures/39190271,"Before: Starting a session or intense series of
modules. After: A break or low point of energy.","Imagine you just got a phone call from your bestie. That's what this one's about. You're about to get a call from your bestie. This one can be done for as many people as you would like, preferably more than, I'd say, probably 2020 and beyond. Be it below that. It can be done, but depending on the audience, might be a little awkward. Okay, you're going to describe to everybody, which you don't really need anything. Fake phones over here. It's all you need because you've already told everybody to mute their actual phones, potentially. So they're going to use their fake phones. Okay? They are going to receive a phone call from their bestie and they're going to carry on a conversation as if it were really happening. Here's the thing. Everybody's doing this at the exact same time. So nobody's listening to anybody else's conversation because they're talking. Okay? So the beauty of this is there's a lot of chatter going on. There's a lot of things happening. People are moving. Some people walk and talk when they do stuff like me. Some people sit down, some people, whatever, they're all over the place. And have them carry out a fake real conversation, a real fake conversation with their bestie. This takes less than two minutes to describe. Have them do it. And at the end of the day, you're giving them some really good thoughts. I've also had this go the other way where their best friend is no longer with us. And it brings out emotions to kick off, you know, them in their group, their subgroup, etcetera. Either way, it adds to the vulnerability of the group. It adds to the camaraderie of the group. It pumps everybody up, as far as, you know, thinking good thoughts, et cetera, for the most part. Phone call. Hello? Yeah. Oh, my God. I haven't heard from you in forever. It's great to hear. What are you doing that like that?"
Questions,Medium,"3-7 participants per group,
can be multiple groups.",An open mind.,7-15 minutes,"The easiest, fastest, most efficient (laziest) way to get the
group going and generate interesting discussion across
the room. Find your own questions or use Johnny’s list of silly questions for conversation starters. Creative
collaboration functions on trust. Conversations serve as a
cornerstone for that trust.",https://stalechips.teachable.com/courses/1732552/lectures/39190274,"Before: something serious. After: A break or something “serious.
”","Questions. The easiest, fastest effort, most effortless way to get the group going and hopefully get some interesting conversations popping all over the room. We're talking huge lists of questions. For me, I'm just going to share the handful. You can go online and find many more questions. Questions. These are the ones I've used. The ones that make make me giggle a little bit. So let's get started. Question one. If you were a flavor of ice.
Cream, what would you be and why? In this case, you want to get.
Really specific, so give them an example. I myself would be chocolate chip cookie dough peanut butter ice cream swirl with a little jalapeno in there because I'm a little bit nutty, I'm spicy, and I'm full of surprises. Huh. Pretty good response. So from a basic question, we get a fun answer. We get good camaraderie and energy from the room. I'm going to start shooting off a few more questions. When I dance, I look like. Obviously I look like Beyonce. Would you rather run 100 miles an hour or be able to fly 10 miles an hour?
So let me say that again.
Would you rather be able to run at 100 miles an hour? Vroom, vroom. Or fly at just 10 miles an hour? Now there's three fun questions. There are plenty, plenty more of hilarious questions on the Internet. I just wanted to get you started with the three that I think are easy, fun and playful. You can get deeper. If you had 25 extra hours a.
Day, how would you spend them?
If you were only allowed to have three apps on your phone, you had to delete all the rest. What would they be and why?
If you were able to live to 500 years, what would you do with the extra amount of time? How would your life change?
They can get playful. They can get probably less formal, less appropriate, more playful, more chaotic. But the process is simple. Prompt the group with a question, allow 1 minute for individual thinking, and then ask everyone to share. I find these work best in smaller groups. So if you have a larger group, divide it up. Allow them to share in a little circular setting so that everybody has the.
Chance to speak, laugh and enjoy.
A simple question can go a long way. Don't have to overcomplicate it."
Remember When,Easy,"5-7 participants per group, can
have multiple groups.",A creative mind and space for each group,8-15 minutes,"What is the magic of improv? In this case, it’s all about
developing an ability to rapidly generate ideas and
develop a “yes, and” approach to creativity. Starting with
a topic, watch as participants weave together a hilarious
story while unknowingly strengthening their ideation
ability and trust among the group.",https://stalechips.teachable.com/courses/1732552/lectures/39190276,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"Remember, when this can be done, groups five to seven people or so, any more than that is possible. It's just you're going to add more time to it. So the most I've ever really done this for is about 30 people. I think beyond that, you're kind of asking to make this go forever, and at that point, you've passed the point of diminishing return. So small, smaller groups are better. You do remember when I like to bring this in as, like, an improv thing, and I describe improv a little bit beforehand by saying, hey, what is the magic of improv? What is, you know, if you could say improv is great because of fill in the blank, what would it be? And I go, okay. Oh, that's great. Oh, yeah, definitely that one. Yeah. Oh, I didn't even think about that. Yeah, awesome. Okay. Those were all great. So the reason that we do improv is to make your partner look good, right? If your job is to make me look good and mine is to make you look good, collectively, we're going to succeed as a whole. Remember when is an improv on? Remember that time we. And somebody will start it off and somebody will keep it going. You can do this one on one, or you can do it again with five, seven people or so in a circle where it just kind, kind of keeps going. It doesn't have to go in order. It can ping pong back and forth, but you typically start it with a scene. So you ask somebody in the crowd to say, let me hear something from the crowd. A hobby or something that you saw today that is really cool. And somebody will go, cupcakes. You're like, great. Remember that time that we bought 35 cupcakes together and then brought it across the street to those people? Do you remember that? The next person will pick it up and go, oh, yeah, I remember it. Susan was with us. Susan, remember that? Susan. Susan was with us. She drove us, but her car broke down. You remember that? And then somebody else will jump in. And somebody else will jump in. And the idea here is to make a compelling story that has nothing to do with, really anything, except for bringing to light everything that everybody's got together to kind of build it up. And this is a really good one to build camaraderie, to get everybody to learn a little bit about each other.
Some people are going to be shy, and they're going to need a little bit of help. And you might even want to say, hey, this exercise is over. After everybody's gone at least once, most people will do two or three when they hear something, they're like, oh, jump in. And they really want to make that story a little bit more special as they continue. So try it. You don't need anything for this one except for an imagination and being able to have a partner to kick it off with in the very beginning with a very quick remember when, where you can kind of go back and forth is important, in my opinion, to get that tempo high and the example right so that when they try it on their own, they're off to the races."
Roman Numeral,Easy,Unlimited numbers.,"Paper and writing utensils for each
participant.",5-9 minutes,"Romans and their ability to count numbers of things. This
exercise will lend credibility to the facilitator while
generating both interest and ability in lateral thinking. Not
everything is always as it seems, much like this workshop
is much more than a meeting.",https://stalechips.teachable.com/courses/1732552/lectures/39190277,"Before: Brainstomring exercise. After: Kicking off the session or returning
from a break.","The Romans, they counted numbers with thanks. In this exercise, all you need is honestly some paper to display to your participants what you're going to ask of them, what you're going to challenge them to do. You can do it with unlimited numbers of people. All you need to do is the following, and it's good if they have stuff to write on because they're going to want to try and figure it out. It's a bit of a riddle. So on here, I'm going to count and this, I think, roman numeral nine. Here's the challenge. We're going to try and turn this roman numeral nine, wait for it, beautiful, into roman numeral six. Roman numeral six. Now, I'm always terrible at counting in roman numerals because I'm not from Rome. Obviously, you can tell by my outfit. So we're going to try and turn a nine into a six. And here is the challenging part. You can only do it with one line, one continuous line. It can be straight, squiggly, it can be round, but one line with one single line. You have to turn this nine, this nine into a six. I'm going to give you 1 minute to try and figure it out and I'm going to stare here on. Stay here, stare uncomfortably while you try it yourself. All right? So if you actually thought I was going to stay for a minute, just hit pause, that would be incredibly ridiculous. And we're not going to fast forward of me just like, look at that. So here is how you do it. Most people, they see it and they say, well, I could just cut it in half. And now I've got a six there. No, sir, no, ma'am, mm mm. Not at my table. That is not what we're looking for. The problem is we get so locked in with what we're looking at again, we can't see the forest through the trees. When we take a step back and think a bit more laterally, a bit different, we notice these are already letters, right? Ix is already a letter. Let me get a fresh page so you can get a fresh view. So with the ix, all we're trying to do is draw a six with a continuous line. My people, context. Context is everything. So in this warmup, which forces you to think differently, we realize context to the problem is what's going to help us solve it. If we're too close to it, if we're not understanding what the root of the problem is and being willing to think outside the box, we're never going to find the solution even if it's as simple as drawing a single letter. And that, my friends, is roman numbers."
Roving Reporter,Medium,"5-12 participants per group,
can have multiple groups.","List of questions (same number as the number
of participants) printed or written on cards.",15-20 minutes,"Ask meaningful questions: entertaining, funny,
meaningful, and deep. This is about getting the
team started on working towards a common goal
through the power of connection. In the end,
everyone will answer everyone’s questions, and
comradery will be developed. Make sure all
participants have interchanged with one another.",https://stalechips.teachable.com/courses/1732552/lectures/40817653,Before: Diving into the session or a serious module After: A break or kickoff,"For this exercise, you're going to want to get a list of about ten questions or so for ten people. Eight questions for eight people. Twelve questions for twelve people. I would not go more than twelve people. This will take a very long time and could be an entire workshop in and of itself. It could also be very quick. I will explain more as I go. You are going to ask meaningful questions, some funny and entertaining, some serious and deep and kind of in between. For the number of people that are in your small setting, I think this works best for about eight people or so. It's enough to really get a team started on a journey together where they're working towards a common goal, etcetera. And the objective of this is to give everybody a question. That is their question. They are the owner of that question, and they have to go around and ask that question to everybody in that room, in that setting. Well, when they ask that question, somebody is going to ask them theirs. So at the end of this, everybody will have answered everybody else's question, but you will have the name of the person next to everybody that's answered right on everybody's paper. Johnny will be somewhere on it, on it once for everybody. John will be somewhere on it, Kathy will be somewhere on it, et cetera, et cetera. So you wait until everybody is done. The challenging part about this is mixing people up so that you never, you don't get to the end and have three or four people that haven't paired up. You want to make sure you do a switch. And as it goes, who has asked their question x number of times, you could either do that or you could have a clock and say, chill out. When you're done, we will all move at the exact same time to the next person, et cetera. It's up to you. At the end, everybody has all the answers to all their questions. What I like to do at this point is have everybody sit down around a table or get in a school circle with chairs, have everybody sit down, and then collectively you create a true story about a specific individual. So instead of having Johnny introduce himself with what he likes, what he doesn't like, something really deep, something really funny, etcetera, you have everybody else introduce Johnny. The point being, we say, all right, we're about to work on Johnny. Someone kicks it off, they go, you know that time that Johnny went out and got mint chocolate chip ice cream? So Johnny's favorite ice cream, mint chocolate chip. I'm making this up, but you're making a story out of it. Somebody else will chime in and go, oh, yeah, I remember that time we were listening to that song by blah blah blah. Again, favorite song, blah blah blah, whatever it is, right? And together, everybody is chiming in with their answer to Johnny's question. Johnny's answer to their question to say something more about Johnny. So by the time you get to the end, we know a ton about Johnny because he has spoken with everybody here and they've had a little bit of a conversation. Again, if you want to make this a very long one, you would stop and ask, why? Why? Why? You would dig a little bit deeper on that question. If you want to make this go very fast, then it's just the answer to that question.
It's up to you. But you get to the end, you get to know everybody in that group, and instead
of having that awkwardness where you're about to introduce yourself to the group, having everybody else focus their efforts on you, I have been told even by introverts, this is incredibly powerful. It is the equivalent of somebody calling your name. You just kind of melt a little bit. You're like, yes, somebody is thinking about me right now. And it kind of puts that pressure on everybody to actively listen to everyone when they're answering the question so that they can speak up on their behalf when it comes to answering their question. I love this one personally. You can make it your own. You can make it short. You can make it long. Either way, at the end, people are going to get to know each other a lot better. They're going to have a much more trusting environment to work in together."
RPS,Easy,"5-5,000 participants.",Not a thang!,4 minutes,"Not your school house rock paper scissors. Delivery is
key in this engaging, energizing activity. Make sure to
over-explain (2 to 3 times) the basic rules and battle on
“shoot”. Players become cheerleaders as winners
advance, and everyone becomes a screaming maniac of
a fan. No losers, only loud, passionate supporters!",https://stalechips.teachable.com/courses/1732552/lectures/39190278,"Before: A serious exercise. After: A break, low moment, or misalignment of
the group","This is not the rock, paper, scissors you grew up with. This is something different. And I'm going to start here by saying that delivery of this one is absolutely key. This one can be done in the beginning, in the middle, in the end. It can be done anywhere that you need to buy. Four minutes of time, three minutes of time. I have done this before for about 400 people, and it's still the same amount of time. So, no, I mean a little bit longer, but it can be done very, very quickly. I think 400 people, I think took us about six minutes. It's really not that big of a stretch. Right. People are gonna go quick. So you start off by teaching everyone how to play rock, paper, scissors. Everybody knows, but not everybody knows. I've learned this the hard way. If you have a group of even 25 people and you start off rock, paper, scissors, there are inevitably two people that have never heard of rock, paper, scissors, and they're just going along and pretending like they know what you're talking about. And then when you say go, they are confused and it is painful to watch. So please describe how to play rock, paper, scissors. Before you start. You say the rules. You're going to go rock, paper, scissors, and then shoot. This is rock, this is scissors, this is paper. Paper beats rock. Rock beats scissors. Scissors beats paper. Say that two, three times if you want to be super obnoxious. I have explained it four times before for the group that didn't know how to play. And it's okay, joke around a couple times here or there. Now everybody knows how to play, so now you're going to actually play, hopefully with an assistant. Can I get an assistant where everybody gets to see how you want them to play? So you're going to face off, you're going to stretch before you play. Both assistants are going to get into it. Okay? And then you're going to square off again. We're going to go rock, paper, scissors, and then shoot. Okay, ready, set, go. Rock, paper, scissors, shoot. Rock, paper, scissors, shoot.
Whoo.
Yes. Stay here, please. This is what I need to happen. After the fact, the person that lost is going to cheer uncontrollably for the person that is moving on to the winner of another group of two. So that Johnny knows the depth of cheer that I'm looking for. It would be something like this. Let's say Johnny one. I'd go. He's about to face off to another pair, right? A loser and a winner of two other people that played. And he's gonna go. Let's go, Johnny.
You got this. Come on, you can do it. Let's go. Woo.
That's a. I won't ask you to do it. You can step off this side. Thank you. Here's the thing, their loser is doing the same thing that the loser in this pair did. Right, okay, so you got a lot of noise. So now someone wins. Now you have three people on that team, so to speak, that are cheering on that one person. Who goes to the next group, who goes to the next group. Pretty soon what ends up happening is you have one massive group over here versus one massive
group over here. All of these people are going for this one person, all these people are going for this one person and they're cheering on a game of rock, paper, scissors. Okay, so important to know, when you go and you meet this other group of two or four or whatever, you're going to introduce yourself. Hi, my name is John. Unless your name is something else, so that when you win, if you win, everybody on that team knows what your name is, so that when you move on to the next one, they're cheering uncontrollably for you in the next round. The objective of this is pure and total chaos camaraderie. And what people will pull out of it is, hey, look, individually we can fail, but when we rally around one another and we all support how we act and interact together as a team, the same way we do in rock, paper, scissors, where we're cheering everyone on for their wins, we can accomplish so much more. Right? You can go through and you can say, you can be negative. You know, we stink because of this or we stink because of that. And, you know, you can be negative or you can build people up. Hey, great job today. Looking forward to seeing you later, et cetera, et cetera, et cetera. You can bake in your own kind of lesson for that piece before moving on into a module that requires that team building spirit. This one will give you a headache, potentially, if you yell as loud as I yelled. And I honestly don't know if our microphones are broken because of that. Probably. We'll see. Maybe we'll flash a warning up before I yell because maybe now you can't hear because you're hearing drums. Your eardrums. Your eardrums are busted. This one requires you to just absolutely buy in to that yelling at atmosphere. If you don't, this one will be very weak, so have fun."
Silent Time,Easy,As many as desired.,"Relaxed participants and nothing else!
Oops, we didn’t mean to yell.",3-7 minutes,"Shhhhhh. Welcome to library mode. This tool can be key
if the room has turned into a chaotic ball of
uncontrollable energy. Imagine a kindergarten class post-
candy on Halloween day… not always conducive to
effective collaboration. In order to tune down just a bit,
Silent Time can be your best facilitation friend.",https://stalechips.teachable.com/courses/1732552/lectures/39190280,"Before: Hitting the roof from too much energy.  After: An intense, energy-demanding module.","I was thinking about being silent for a really long time and then realized I didn't know how to come out of it because it was awkward and not as funny as I thought it would be. We have been talking a lot about how to bring the energy up, but what happens when you need to kind of bring the energy down? Silent time is the way to do it. You basically. You don't need anything. You tell everybody, and it can be done for a group of one, a group of 101. It doesn't matter. You basically say in the next two minutes, give them enough time to really, truly immerse their brain into what you're asking them to do. You're going to have two minutes to think of and then fill in the blank. It could be your best day, which we've talked about before. It could be a memory that you've had. It could be 20 years ago, it could be 20 years from now. It does not matter. It's a point of reflection or foreshadowing of something where you have the opportunity with nobody else talking. You don't have to share this with anybody. It's just two minutes. Sit calmly. There's nothing going on except for you and your thoughts. And in a chaotic workshop, sometimes having that silent moment where nobody can follow you to the bathroom or get a snack with you or put you on the spot for something is meaningful. So if anything, I would not reduce those two minutes. I would extend them if you're going to do anything. And I also would not go beyond four minutes at that point. Some people get really itchy. They really want to start doing some other things here and there, and they start fidgeting and moving around. Some people will even get up and go to the bathroom, et cetera, and it'll disrupt everybody else. So again, to calm everybody down, this is what you can use to truly move on and transition to the next thing without everybody still in a laughter state or still really wrapped around the axle about a problem that you were just solving. It's just like, let's calm down. Let's chill out. Silent time."
Similarities,Easy,"4-7 participants per group,
can have multiple groups.",Excited participants and nothing else!,10-16 minutes,"Great teams need great understanding. This exercise
supercharges human connections amongst groups by
rapidly uncovering common connections between
individuals. Forcing deeper conversations, the tool opens
up participants to talk about details from their own lives
and link their experiences to others.",https://stalechips.teachable.com/courses/1732552/lectures/39190319,"Before: A serious exercise. After: A break, low moment, or misalignment of the group","Okay. This is my favorite icebreaker of all icebreakers. It's my favorite for a lot of different reasons. Strap yourself in. This one's going to be a good one. Okay. I'm going to make sure that my audio is, in fact, on it is. So I'm going to continue. Similarities. All you need for this one sharpie, post it note. You can have stuff across the boards, you know, flip charts and whatnot. But all you really need is something to write on, something to write with. You're going to break the room up. I like to break the room up by saying, I need four people to raise their hand. You get four people to raise your hand and you say, you that corner. You that corner. You that corner. You that corner. Right. We're just going to throw out 20 people in this room. This icebreaker is really good for around the 20 to 30 range. More than that. And it becomes very cumbersome. It takes a very long time. I highly recommend this for about the 25 range. So you split up the room, right. You got four groups and you say, okay, in the next 12 seconds, I need even teams. There's four people, right? Keep your hands raised, please. These four people. I need four even teams. This is what I mean by even. Stop moving. Stop moving. This is what I mean by even teams. People that have been in the organization a long time, people that have been in a short time. I need a wide array for every group. I don't want you to be in the same group as a friend of yours. I don't want you to be in the same group as your boss. I want this to be very evenly dispersed teams.
You only have 12 seconds. Inevitably a lot of people are going to run to one and you're going to have to do some public math to realize that your group is too large and run to the other side. 12 seconds. Ready, set, go. Chaos ensues. They all break off. They go to their thing. Cool. That in and of itself can be its own warmup. Okay. Now you say, listen, I want you to come up with as many similarities that you share in common with your group. I'm going to throw out some examples of what I mean. We all like to eat pizza. I would say that is not a similarity. Why? Because I don't think it's specific enough. Do you all like pizza from the same restaurant? Have you all eaten pizza at the same restaurant? Do you all like pepperoni? Do you all like your pizza without cheese? Because you're a weirdo. Whatever it is, it needs to be like one step further than the traditional thing. I like to drink wine. No, I like to drink white wine. Who likes to do that? I like to drink red wine. Everybody has to have that one step further similarity. It allows everybody to kind of dive a little bit deeper. You're going to say, everybody that was raising your hand, you are the note taker for your group. I am attempting for you to get a minimum, a minimum of seven very good similarities. And I'm not looking for. We're all wearing pants today. It's freezing outside. Of course we're all wearing pants today. I want you to dive deeper. I like to travel, it's not a good one. I like to travel to Europe or I like to travel to Africa or it doesn't matter. Like, what is a place that you've all been outside of the United States? What is a place that you've been outside of in Australia or whatever. Figure it out, right?
Come up with as many similarities as possible. And then I say I'm going to walk around and I'm going to cross off. Similarities that I don't think are good enough. And it's kind of funny, et cetera. It allows me to walk up, read what they have written, listen in on their conversations, see how things are going, look at their body language, see that they're really jiving with each other. And I like to cross off at least one every time I pass by. It just makes them go that much further. I say, oh, by the way, this is a competition. Who can get to seven similarities that are good before everyone else. So now the clock is ticking, right? You need to go around and make sure that team over there, that's just crushing it. Just get rid of a ton of similarities on theirs. Okay? In the end, the game is made up and the points don't matter type of thing. You're going to understand that at some point anyways about everything that we do. Except the points do matter. I'm kidding. They're gonna go. You're gonna give them some time? I think it is probably gonna take about five minutes, six minutes if you count saying what they need to do, splitting them up, and then they're off to the races to get those seven. I say seven because of what I'm about to say coming up, you make sure everybody's got it. They're cheering, they're high five and they did it. They're really excited. They've learned a lot about each other. Hopefully you've gathered at this point in time that by sharing a similarity, something that they have in common. They have gone through more things that they do not have in common. I'm a cat person. I'm a dog person. I'm an only child. I'm a middle child. They're learning about their family, about their hobbies, about where they go on the weekend. They are learning so much about each other by just throwing it out there. And in order to get them to come up with five people or more, the more people you have in a group, the harder it is to have a similarity that everybody shares. Right. Sometimes those turn to, we all don't like this thing, anchovies. Right? Whatever. Okay. They get through it. They have learned a ton about one another.
They dove deep into each other, racking and stacking these things. Cool. Now you have four groups in this scenario where they're ready to roll and you go, okay, listen, I want everybody. There's no talking right now. I'm about to describe something and I don't want anybody to start talking or writing under their breath because I'm going to give you a finite amount of time and I want you to really buy into this amount of time. I'm going to give you 1 minute. And in that 1 minute, you are going to discuss amongst your team a team name that you all like and a fictional story about how you all became best friends, how you met or how you became best friends. However it works, leveraging the similarities that you have. Are there any questions? Okay, now here's the catch. At the end, you are going to present out loud to everyone your story, your fictional story of how you all became best friends. So pick somebody to speak. It can be everybody. It can be one person. You have 1 minute fictional or a name about your group and a story. Get it ready. Who's going to talk, when, for how long, et cetera. Here's one more catch. This is like cupcake wars. When I say time is up, time is up. If you don't take the oven, if you don't take the cupcake out of the oven, your cupcakes don't count. So when I say time is up, if you are talking, you are going to go first and you might not get as many points that also don't matter. Okay. You say go. They are feverishly figuring it out who's doing what. There's sticky notes flying everywhere. It's just pandemonium everywhere. This is the beauty at the end. You call on a team. They give a

story that is believable, it is hilarious. It involves how those people came together to come up with these similarities. They are not ever the same. They're always a little different. There's always, you know, like this one thing. We love this type of movie, or we don't like this, we're Star wars over Star Trek, like, whatever. In the end, this is what you're going to get. Teams that have sincere buy in and loyalty for each other, towards each other, for the rest of the day, for next week, for next month, forever. People remember stories, and when you are in a team with other people that came up with this crazy story, you remember that you met on at a Dave Matthews concert in line to get a beer, whatever, and you remember that, and it brings you closer together and it allows you to treat everybody else in your group like a human being when you're coming up with ideas. So later on in the workshop, when you have somebody give a really terrible idea, people aren't judging the person for the terrible idea. They just kind of move on and they have more trust and more faith that they're going to have each other's back.
And in the end, you've done improv. You've taught them how to very quickly break up into different groups. You have taught them how to do things on your timetable, which is very short. Get them going, get them moving. So it adds a lot of energy. It's something that is very good to use before an ideation process. You can use it after a lunch for energy. You can use it as a segue into discussing improv and whatnot. There are a lot of different uses for this. You can tweak it the way that you need to use it in your workshop, but it gets everybody moving, everybody thinking, and most importantly, it gets everybody teaming."
Star Wars,Medium,"Unlimited (less=more awkward)
15+ is a good starting point!",People and lightsaber sounds (provided by the people).,2-4 minutes,"Pew! Pew! Waaaauuuuuu….
A pallet cleansing but powerful icebreaker to switch
minds back to a creative space. The Force is strong with
this one as the group randomly breaks out into a full-
fledged lightsaber fight. Everyone versus everyone. The
more sounds, the better! Playing with a purpose, this
icebreaker will bring any participant back from the dark
side.",https://stalechips.teachable.com/courses/1732552/lectures/39190320,"""Before: something serious. After: A break or something “serious.""","All you need with this one is, Boop. A little bit of Star wars, take one. All you need for this one, a little bit of imagination, a little bit of energy, some tempo, etcetera. You can use this one for an infinity. Number of people. Infinite should have been the word there, but it's the same number of people. It's a lot. I highly recommend against doing this with three people because it's super awkward. So you're looking at 15 plus people. This will be great for. Okay. It takes no more than two minutes, so this can just be just enough for you to go from something serious to something else serious. Just kind of get everybody to loosen up a little bit. It could be when you come back from a break, it could be at the end of lunch, whatever. It could be during lunch. I mean, that's kind of weird, but whatever. Whatever floats your boat. Star wars. You are going to demonstrate with some other person. You're going to bring out someone. Can I get somebody? Excellent. Oh, Spider man. Wrong one. It's not in the same uniform. Well, it's owned by the same people, I guess. Anyways, you are going to demonstrate with this one person before you unleash it to the masses how you want this fight to go. You want it to be as realistic as possible. If people don't know what Star wars is, kick them out of your workshop, tell them to go home, and they need to watch all of them, starting with the originals. Okay. And we just demonstrate it. I'm just going to assume right now Johnny knows what I'm about to do, even though we haven't talked about it. Okay. Get out of here. That was excellent. So, after everybody knows what you want, you want everybody to be in a fight, pretty much, against everybody. They need to be watching their back. They need to be watching their front. They need to be fighting with sincere and total joy. That wasn't the right word, but they do need to have a lot of joy.
This is sincere and total worry that they might lose their lives to a lightsaber that's not real. Okay. You explain it. You do it. They do it. Everybody's pumped. I find the best way of doing something like this as an icebreaker is that you don't describe why you did it. You immediately finish and you start describing the very next thing at hand as if that didn't just happen. And it's kind of like, whoa, what just happened? You know, like Keanu. Whoa. That's what everyone's like. And I think that captures the hearts and minds of people. Gets everybody pumped. It's a really good one."
